cloud,profile,weighting,sigma_bin_left_g_cm2,sigma_bin_right_g_cm2,sigma_bin_center_g_cm2,probability_density_per_ln_sigma,probability_density_normalized_to_peak,common_pixel_count,profile_censored_pixel_count,shared_display_minimum_g_cm2
C,bt12,area,0.07498942093324558,0.08659643233600653,0.08058421877614817,0.4274245205589687,0.9220927917164476,602263,22,0.01
C,bt12,area,0.08659643233600653,0.1,0.09305720409296989,0.4049606771877988,0.8736310234966123,602263,22,0.01
C,bt12,area,0.1,0.11547819846894582,0.10746078283213176,0.33377325366437416,0.7200567502986858,602263,22,0.01
C,bt12,area,0.11547819846894582,0.1333521432163324,0.12409377607517195,0.2850958241918727,0.6150438072481083,602263,22,0.01
C,bt12,area,0.1333521432163324,0.1539926526059492,0.14330125702369628,0.23990277104093888,0.5175477897252083,602263,22,0.01
C,bt12,area,0.1539926526059492,0.1778279410038923,0.16548170999431816,0.19504431031823555,0.4207735961768213,602263,22,0.01
C,bt12,area,0.1778279410038923,0.2053525026457146,0.19109529749704407,0.15900062942890295,0.3430157307845475,602263,22,0.01
C,bt12,area,0.2053525026457146,0.23713737056616552,0.220673406908459,0.13030644429069244,0.28111310234966147,602263,22,0.01
C,bt12,area,0.23713737056616552,0.27384196342643613,0.25482967479793467,0.10627347780782417,0.22926622859418525,602263,22,0.01
C,bt12,area,0.27384196342643613,0.31622776601683794,0.2942727176209282,0.06763382118222401,0.1459080047789723,602263,22,0.01
C,bt12,area,0.31622776601683794,0.3651741272548377,0.33982083289425596,0.0401857043974218,0.08669354838709678,602263,22,0.01
C,bt12,area,0.3651741272548377,0.4216965034285822,0.3924189758484536,0.014779755191816617,0.031884707287933065,602263,22,0.01
C,bt12,area,0.4216965034285822,0.4869675251658631,0.4531583637600818,0.00223830796815958,0.004828753484667456,602263,22,0.01
C,bt12,area,0.4869675251658631,0.5623413251903491,0.5232991146814947,0.0,0.0,602263,22,0.01
C,bt12,area,0.5623413251903491,0.6493816315762113,0.6042963902381329,0.0,0.0,602263,22,0.01
